,time,r10i1p1f1,r11i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
180,1865-01-15,275.9112,280.1387,279.6061,281.4175,279.29175,279.03677,281.23123,279.05515,280.629,280.7853,277.71954
181,1865-02-14,276.35162,279.74396,279.90698,280.13202,280.08893,278.9622,278.8842,278.2619,279.61255,279.1318,279.79782
182,1865-03-15,276.8821,280.1098,280.611,281.05093,281.3704,279.3076,280.40414,280.77664,280.8354,279.54752,281.0607
183,1865-04-15,280.807,282.4609,280.89523,282.76273,282.272,280.88455,282.16052,282.48624,282.50507,282.43866,282.19144
184,1865-05-15,283.88437,286.6377,284.1589,285.34128,286.7396,284.83292,286.72446,285.46432,286.44244,284.51355,285.48282
185,1865-06-15,288.84796,288.64218,288.0318,288.30463,289.7658,288.09283,288.59366,287.9735,287.49457,287.2574,289.10532
186,1865-07-15,290.24475,289.89767,290.6089,289.5422,289.6447,288.4327,291.05618,288.71695,289.18576,289.7563,290.29968
187,1865-08-15,290.42328,292.88727,289.84656,290.5337,291.5097,290.81665,290.5721,289.98053,290.02112,290.09375,291.094
188,1865-09-15,289.83905,288.76923,288.2697,289.09317,288.90012,289.7529,290.99594,288.4883,287.7571,288.62775,289.19556
189,1865-10-15,286.12155,285.55954,286.6103,286.96317,286.27893,286.65433,286.24265,285.83347,286.083,288.00317,286.07736
190,1865-11-15,281.26108,282.2025,283.70312,284.71097,283.72327,282.79764,282.96936,281.88126,281.41708,285.63422,283.66113
191,1865-12-15,279.88623,282.23914,279.28607,280.0845,281.95248,280.193,282.34164,278.41037,282.76364,282.7851,280.84662
192,1866-01-15,279.08795,280.65823,279.4417,279.55453,280.79184,279.92804,280.73798,278.29105,277.91962,281.954,279.04636
193,1866-02-14,279.56024,276.72256,278.20758,282.14954,280.16357,280.9915,277.53787,281.01917,278.1496,279.4229,278.9179
194,1866-03-15,280.42007,280.23343,280.02838,282.7875,279.16367,280.343,281.22186,280.59378,280.88123,281.51517,280.22278
195,1866-04-15,282.14673,280.99637,281.9115,284.65036,283.0728,282.27008,282.20453,282.06393,282.86548,284.30856,280.94272
196,1866-05-15,284.38202,283.90015,285.13785,285.14212,284.28864,284.4165,284.08307,283.4003,284.6875,286.01566,285.45984
197,1866-06-15,286.98627,288.0411,288.00714,289.69608,288.0039,288.36404,288.7016,288.0379,288.99423,288.7421,289.8165
198,1866-07-15,289.9719,289.23526,290.17282,291.19565,290.36298,289.84338,289.8559,288.7676,289.3457,290.12906,289.42264
199,1866-08-15,291.32193,289.9262,290.31195,290.13843,290.75168,292.80023,291.28748,290.099,291.08517,290.0576,290.95633
200,1866-09-15,288.43094,290.15674,290.0104,289.02823,290.68832,291.70023,288.13828,288.508,289.84177,289.089,290.17444
201,1866-10-15,285.27856,286.55118,286.65958,286.0008,288.08005,287.34988,286.64395,286.48328,287.36942,286.60153,285.46008
202,1866-11-15,282.47696,284.03552,282.70505,283.70972,284.84286,282.09714,284.00388,283.25323,280.68735,282.60193,282.0112
203,1866-12-15,280.10712,282.17422,279.3302,281.13464,280.5593,281.3605,281.9683,280.04443,280.216,279.26794,280.62823
204,1867-01-15,280.23874,280.55573,279.43704,280.38626,279.6203,279.78894,281.52985,279.99545,279.68707,280.2361,277.75278
205,1867-02-14,279.94238,277.31674,278.97525,277.01047,279.19705,280.76654,279.4012,277.28247,281.1183,277.93137,278.9438
206,1867-03-15,280.87103,279.1007,280.34738,278.76923,281.77618,281.69537,279.9755,279.58948,280.91934,281.34885,281.23682
207,1867-04-15,282.93494,280.82364,282.57208,281.51898,282.2152,283.2506,282.40283,282.50293,282.8794,280.99744,282.69727
208,1867-05-15,284.4866,284.37137,285.06818,284.36105,285.9805,286.26263,287.32407,284.80508,284.947,284.53635,285.76016
209,1867-06-15,288.22638,287.49173,287.65988,287.35117,287.99817,288.97388,289.83972,288.48264,289.4191,288.59174,288.26926
210,1867-07-15,291.37323,289.1442,289.52457,291.1079,289.5526,289.25342,291.90656,289.51773,289.9011,289.77667,290.08218
