,time,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r6i1p1f2
266,2037-03-16,278.76978,281.70798,280.7464,281.84308,280.74765,279.59326
267,2037-04-16,281.09644,283.1513,282.2446,282.36646,281.37216,282.18173
268,2037-05-16,284.77048,287.23242,282.6907,284.05188,285.92065,285.39307
269,2037-06-16,290.57996,290.54932,287.60077,288.6731,289.7962,288.9417
270,2037-07-16,293.11447,291.83887,292.55585,293.67108,292.58112,294.3725
271,2037-08-16,294.4488,293.7594,292.00388,293.14642,291.27054,293.27847
272,2037-09-16,291.6664,291.76193,290.02985,288.93613,288.97086,289.38638
273,2037-10-16,284.1837,286.00806,288.43085,287.1086,286.58463,286.28778
274,2037-11-16,282.47736,282.05264,283.72668,283.48203,282.0505,281.49274
275,2037-12-16,278.03104,279.12354,279.71,280.88153,277.69635,278.21454
276,2038-01-16,279.70883,276.9945,278.24942,277.52338,279.0205,277.86362
277,2038-02-15,277.7525,275.71793,278.5206,279.95267,277.6766,278.35895
278,2038-03-16,278.5421,278.77896,277.62976,279.03076,278.21918,282.08282
279,2038-04-16,280.3922,281.49356,280.24756,281.57568,280.19794,285.90802
280,2038-05-16,283.5865,285.8184,285.44324,285.76108,283.11066,285.15063
281,2038-06-16,290.03088,292.4503,291.57303,290.23245,289.3405,291.70584
282,2038-07-16,292.22626,295.2131,293.84003,291.6791,293.98993,293.33398
283,2038-08-16,293.39566,295.5989,292.94583,292.2152,294.67545,292.27774
284,2038-09-16,290.2033,289.59775,289.93506,287.8741,289.37698,291.42944
285,2038-10-16,284.64407,284.97882,283.93384,284.09412,284.3357,287.4136
286,2038-11-16,282.285,282.12994,282.75348,281.83588,280.65085,283.6428
287,2038-12-16,276.0982,280.00244,279.15012,277.26892,279.66434,281.17285
288,2039-01-16,276.69315,280.33563,279.986,277.81357,278.5328,276.9249
289,2039-02-15,276.93893,279.32855,280.60336,275.47446,277.57776,279.55103
290,2039-03-16,278.08475,280.81076,280.6395,279.0038,278.21933,279.2161
291,2039-04-16,281.67612,281.4842,281.92596,280.53748,281.1455,281.59103
292,2039-05-16,281.8669,287.34286,283.45065,285.6374,283.8783,285.0878
293,2039-06-16,287.5858,291.27966,288.92673,290.54193,289.35226,289.8371
294,2039-07-16,289.8261,292.27106,295.8023,293.42886,292.59726,293.09445
295,2039-08-16,293.09064,293.2065,292.03052,290.66623,293.0491,294.67148
296,2039-09-16,289.0307,292.2906,288.9307,289.72595,289.5089,290.31537
297,2039-10-16,287.95847,287.62183,286.2876,286.37518,285.1544,286.91736
298,2039-11-16,283.38742,283.74405,283.06354,280.28522,284.4031,282.9934
299,2039-12-16,281.7369,280.04834,282.46976,279.0351,282.03024,279.30783
300,2040-01-16,279.6588,279.14703,278.88693,276.3284,280.15045,280.6189
301,2040-02-15,277.89517,278.86246,276.8393,276.36658,278.21677,280.6314
302,2040-03-16,278.59866,281.1429,279.44724,279.33978,279.4732,280.1137
303,2040-04-16,281.06372,280.6751,282.36453,281.80243,282.5461,282.07892
304,2040-05-16,288.3392,284.66782,286.67752,285.58017,285.91492,283.9389
305,2040-06-16,290.5023,290.0493,289.80844,288.22858,291.064,291.2107
306,2040-07-16,292.37967,293.54037,292.03543,292.8363,291.5833,295.5559
307,2040-08-16,292.83334,292.05566,291.45062,291.51907,290.66974,292.14996
308,2040-09-16,290.67215,289.0549,290.97595,287.332,287.52707,288.98016
309,2040-10-16,287.58862,286.22372,286.82715,284.84506,285.4622,284.28967
310,2040-11-16,284.08353,281.81082,281.33258,281.20294,282.6115,282.65027
311,2040-12-16,281.2259,280.43347,277.11453,279.5733,279.92294,278.48972
312,2041-01-16,279.88287,280.66797,278.43268,278.6934,277.83698,277.09357
313,2041-02-15,278.0239,280.12158,279.03757,277.04358,278.6917,276.11206
314,2041-03-16,279.4778,281.4814,278.2232,278.20496,278.3417,278.10834
315,2041-04-16,281.5164,283.21436,280.6358,280.6501,282.5107,280.57147
316,2041-05-16,285.49893,285.6749,283.65445,287.87268,286.16415,283.6546
317,2041-06-16,289.3375,290.79938,289.45523,292.64224,291.36673,290.7252
318,2041-07-16,291.7489,290.97302,293.9171,292.87775,292.58722,292.3286
319,2041-08-16,292.67883,294.76538,291.99475,293.87796,293.61993,293.49066
320,2041-09-16,290.01846,291.70102,289.57803,290.2053,289.51712,291.53928
321,2041-10-16,285.6594,287.64496,286.88205,283.95938,287.35715,284.58643
322,2041-11-16,282.22626,283.29678,282.52698,282.62946,282.82614,281.68146
323,2041-12-16,279.63428,279.61618,279.758,277.4979,281.3546,279.57135
324,2042-01-16,278.9207,275.9196,277.93387,276.00064,280.87225,277.91208
325,2042-02-15,278.454,276.50833,280.72488,279.77765,279.98654,279.0749
326,2042-03-16,278.3581,280.29608,281.7745,279.25793,282.73026,281.35333
327,2042-04-16,281.065,282.1873,283.25085,281.27542,281.23346,282.2225
328,2042-05-16,282.80563,283.9184,283.84775,283.79886,285.43893,285.98807
329,2042-06-16,291.93143,290.77142,292.82407,290.41797,290.66107,292.31775
330,2042-07-16,291.7273,295.23795,292.79886,294.86365,293.58435,292.25558
331,2042-08-16,294.4299,292.22882,294.20187,292.13406,294.04016,293.29654
332,2042-09-16,291.3888,291.30896,292.67032,289.15845,288.96628,291.46167
333,2042-10-16,286.69452,283.55313,285.36227,285.79312,285.08752,286.27194
334,2042-11-16,281.19022,281.68875,282.73776,280.92932,282.48468,282.20117
335,2042-12-16,278.78702,279.28015,279.44107,279.6249,279.40686,279.27655
336,2043-01-16,280.35608,279.0951,280.15186,276.54718,275.42798,278.71347
337,2043-02-15,279.6077,279.19318,279.23724,276.68225,276.67484,279.3982
338,2043-03-16,278.82596,280.94373,279.60056,278.66214,277.87982,279.806
339,2043-04-16,282.28003,281.25684,281.61655,280.4487,281.4995,281.7873
340,2043-05-16,286.15964,287.09647,285.43127,283.41434,286.13257,284.32404
